gr_year,squirrel_id,N
SU_2001,5562,24
SU_2001,5564,36
SU_2001,5165,26
KL_2002,5422,25
KL_2002,5461,42
KL_2002,5715,88
KL_2002,5763,97
KL_2002,5940,43
KL_2002,6071,115
KL_2002,5496,26
KL_2002,5616,31
KL_2002,5824,25
KL_2002,5895,51
KL_2002,5808,57
KL_2002,5587,40
KL_2002,5674,35
KL_2002,5750,23
KL_2002,5764,23
KL_2002,5348,23
KL_2002,5501,22
KL_2002,5518,39
KL_2002,5717,50
KL_2002,5748,68
KL_2002,5754,40
KL_2002,5755,72
KL_2002,5515,25
KL_2002,5627,31
KL_2002,6041,43
KL_2002,5513,22
KL_2002,5852,46
KL_2002,6072,22
KL_2002,5418,42
KL_2002,6617,30
KL_2002,7609,24
KL_2002,6236,37
KL_2002,7827,30
KL_2002,6523,25
KL_2002,5952,23
KL_2002,5537,31
SU_2002,6508,368
SU_2002,5463,283
SU_2002,5505,27
SU_2002,6348,408
SU_2002,5264,50
SU_2002,5563,57
SU_2002,5898,25
SU_2002,6510,65
SU_2002,6166,24
SU_2002,6342,25
SU_2002,5696,48
SU_2002,5586,393
SU_2002,5749,46
SU_2002,6050,22
SU_2002,6056,44
SU_2002,7247,37
SU_2002,5564,33
SU_2002,5454,343
SU_2002,5488,23
SU_2002,5562,360
SU_2002,5725,357
SU_2002,6834,38
SU_2002,5582,71
SU_2002,5724,167
SU_2002,5751,86
SU_2002,5487,22
SU_2002,5491,57
SU_2002,6170,38
SU_2002,5803,39
SU_2002,6495,180
SU_2002,5265,34
SU_2002,6338,42
KL_2003,5940,42
KL_2003,5755,64
KL_2003,5763,66
KL_2003,5879,69
KL_2003,5891,25
KL_2003,6236,41
KL_2003,6343,99
KL_2003,5754,76
KL_2003,5774,26
KL_2003,6071,45
KL_2003,6617,25
KL_2003,7609,85
KL_2003,5895,85
KL_2003,6072,35
KL_2003,6501,26
KL_2003,5952,32
KL_2003,5986,97
KL_2003,5824,24
KL_2003,5882,25
KL_2003,6272,27
KL_2003,7827,54
KL_2003,5902,27
KL_2003,6041,32
KL_2003,5977,26
KL_2003,5833,29
KL_2003,6523,63
KL_2003,6631,100
KL_2003,5748,41
KL_2003,5852,97
KL_2003,5770,83
KL_2003,6312,56
KL_2003,6383,28
KL_2003,6120,56
KL_2003,6002,69
KL_2003,5760,22
KL_2003,6519,61
SU_2003,5725,97
SU_2003,5751,142
SU_2003,5957,138
SU_2003,6091,28
SU_2003,6338,81
SU_2003,6347,420
SU_2003,6458,299
SU_2003,6510,77
SU_2003,6841,51
SU_2003,7278,291
SU_2003,5749,203
SU_2003,5898,24
SU_2003,5924,36
SU_2003,6056,49
SU_2003,6342,325
SU_2003,6502,27
SU_2003,6508,375
SU_2003,6526,306
SU_2003,7068,85
SU_2003,7247,44
SU_2003,8513,184
SU_2003,6495,347
SU_2003,6348,65
SU_2003,6398,26
SU_2003,6063,103
SU_2003,5758,51
SU_2003,5803,51
SU_2003,6232,59
SU_2003,6834,139
SU_2003,5724,134
SU_2003,5893,25
SU_2003,6170,54
SU_2003,7575,25
SU_2003,7385,111
SU_2003,6058,28
SU_2003,7643,32
SU_2003,5894,34
SU_2003,10296,69
SU_2003,7172,38
SU_2003,6569,32
KL_2004,6046,26
KL_2004,6272,26
KL_2004,6509,33
KL_2004,6052,25
KL_2004,6935,23
KL_2004,6770,50
KL_2004,6071,63
KL_2004,6617,65
KL_2004,7827,75
KL_2004,6343,80
KL_2004,6041,54
KL_2004,6500,48
KL_2004,7609,83
KL_2004,6120,39
KL_2004,6501,88
KL_2004,6383,56
KL_2004,6312,23
KL_2004,6236,73
KL_2004,6868,25
KL_2004,6055,24
KL_2004,6392,63
